hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,10,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,10,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,5,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,5,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,5,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,5,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,5,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,3,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,3,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,3,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,10,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,3,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,3,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,10,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,10,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.22191505403367684,0.22191505403367684,1.0,,,,,0.0,0.0,NVDA
multiday,10,1.0,0.2,0.2,2,0.19106297900699754,0.19106297900699754,1.0,0.19632617456215867,0.19632617456215867,1.0,0.012638856295517089,0.03618814039455147,15.117109850735956,5.425152340563976,0.0,0.0,NVDA
multiday,10,1.0,0.05,0.2,2,0.19106297900699754,0.19106297900699754,1.0,0.19632617456215867,0.19632617456215867,1.0,0.012638856295517089,0.03618814039455147,15.117109850735956,5.425152340563976,0.0,0.0,NVDA
multiday,10,1.0,0.1,0.2,2,0.19106297900699754,0.19106297900699754,1.0,0.19632617456215867,0.19632617456215867,1.0,0.012638856295517089,0.03618814039455147,15.117109850735956,5.425152340563976,0.0,0.0,NVDA
multiday,10,1.0,0.03,0.2,2,0.19106297900699754,0.19106297900699754,1.0,0.19632617456215867,0.19632617456215867,1.0,0.012638856295517089,0.03618814039455147,15.117109850735956,5.425152340563976,0.0,0.0,NVDA
multiday,10,0.5,0.2,0.2,4,0.15343464650008576,0.19106297900699754,1.0,0.16612551948943138,0.19632617456215867,1.0,0.08165059674061094,0.08956056563817957,1.8791613610310731,1.8548958272614153,0.0,0.0,NVDA
multiday,10,0.5,0.1,0.2,4,0.15343464650008576,0.19106297900699754,1.0,0.16612551948943138,0.19632617456215867,1.0,0.08165059674061094,0.08956056563817957,1.8791613610310731,1.8548958272614153,0.0,0.0,NVDA
multiday,10,0.5,0.05,0.2,4,0.15343464650008576,0.19106297900699754,1.0,0.16612551948943138,0.19632617456215867,1.0,0.08165059674061094,0.08956056563817957,1.8791613610310731,1.8548958272614153,0.0,0.0,NVDA
multiday,10,0.5,0.03,0.2,4,0.13803148950349878,0.19106297900699754,0.75,0.15332471332460054,0.19632617456215867,0.75,0.11233743247362311,0.114209373749279,1.2287221317427621,1.3424879963109724,-0.029999999999999805,-0.013016236676959836,NVDA
multiday,3,1.0,0.1,0.2,2,0.12722425858047315,0.12722425858047315,1.0,0.13621753885617544,0.13621753885617544,1.0,0.1029204405272522,0.12119458822569663,1.2361417997116477,1.1239572727661904,0.0,0.0,NVDA
