hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
intraday,30,1.5,0.1,0.1,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.05,0.2,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.1,0.2,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.03,0.2,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.05,0.1,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.03,0.1,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.2,0.2,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,30,1.5,0.2,0.1,2,0.053117434463813895,0.053117434463813895,1.0,0.05265891763401542,0.05265891763401542,1.0,0.0541990772471732,0.05056590556077982,0.9800431513173831,1.0413917648665427,0.0,0.0,ORLA
intraday,390,1.0,0.03,0.2,5,0.048992674606773076,0.013313609467455523,0.8,0.045233243232870854,0.01542413297432077,0.8,0.08921597094159298,0.09142050928835815,0.5491469082239447,0.4947822275874264,-0.030000000000000027,-0.03751193351463389,ORLA
multiday,1,1.0,0.03,0.2,5,0.048992674606773076,0.013313609467455523,0.8,0.045233243232870854,0.01542413297432077,0.8,0.08921597094159298,0.09142050928835815,0.5491469082239447,0.4947822275874264,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,60,1.5,0.1,0.1,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.2,0.1,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.05,0.2,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.2,0.2,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.05,0.1,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.03,0.2,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.03,0.1,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,60,1.5,0.1,0.2,2,0.04477054530824032,0.04477054530824032,1.0,0.04426227988650455,0.04426227988650455,1.0,0.06268750280065222,0.058983975980832146,0.7141861345252776,0.7504119407089196,0.0,0.0,ORLA
intraday,15,1.5,0.2,0.1,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.03,0.1,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.1,0.1,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.2,0.2,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.03,0.2,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.05,0.2,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.1,0.2,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
intraday,15,1.5,0.05,0.1,2,0.04297139576988984,0.04297139576988984,1.0,0.043662426760925355,0.043662426760925355,1.0,0.0370470889798816,0.03503962341230808,1.1599128825810157,1.246087215240687,0.0,0.0,ORLA
multiday,5,1.0,0.05,0.2,5,0.06045948505155614,0.06065088757396442,0.8,0.04289798463156058,0.020284093143805748,0.8,0.09140730421330277,0.09624457308430028,0.6614294729715625,0.44571847800692505,-0.050000000000000044,-0.057511933514633906,ORLA
intraday,60,1.0,0.03,0.2,5,0.04505006774222453,0.038590604026845554,0.8,0.04232469638644498,0.033190890816592766,0.8,0.06391276835005859,0.06554604579304547,0.7048680397550521,0.6457246333376176,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,30,1.0,0.05,0.2,5,0.044936799995376184,0.030201342281879096,0.8,0.04223132807637155,0.024801629071626308,0.8,0.058680924888708866,0.06068342218747072,0.7657820676923709,0.6959285840192948,-0.028277634961439535,-0.03578956847607351,ORLA
intraday,30,1.0,0.1,0.2,5,0.044936799995376184,0.030201342281879096,0.8,0.04223132807637155,0.024801629071626308,0.8,0.058680924888708866,0.06068342218747072,0.7657820676923709,0.6959285840192948,-0.028277634961439535,-0.03578956847607351,ORLA
intraday,30,1.0,0.2,0.2,5,0.044936799995376184,0.030201342281879096,0.8,0.04223132807637155,0.024801629071626308,0.8,0.058680924888708866,0.06068342218747072,0.7657820676923709,0.6959285840192948,-0.028277634961439535,-0.03578956847607351,ORLA
intraday,30,1.0,0.03,0.2,5,0.04459232698766409,0.030201342281879096,0.8,0.041886855068659454,0.024801629071626308,0.8,0.059220733241013596,0.06123937678403956,0.7529850534978089,0.6839856521788799,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,390,1.0,0.05,0.2,5,0.04499267460677307,0.013313609467455523,0.8,0.04123324323287085,0.01542413297432077,0.8,0.09396497335240878,0.09625570781007133,0.4788238957726442,0.4283719290104953,-0.050000000000000044,-0.057511933514633906,ORLA
multiday,1,1.0,0.05,0.2,5,0.04499267460677307,0.013313609467455523,0.8,0.04123324323287085,0.01542413297432077,0.8,0.09396497335240878,0.09625570781007133,0.4788238957726442,0.4283719290104953,-0.050000000000000044,-0.057511933514633906,ORLA
intraday,120,1.0,0.03,0.2,5,0.04282296959095566,0.030201342281879096,0.6,0.04003150367731676,0.024801629071626308,0.8,0.06598169288281652,0.06773746980957,0.649012896153017,0.5909802032738619,-0.030000000000000027,-0.03751193351463389,ORLA
multiday,10,1.5,0.2,0.2,2,0.03952461552335307,0.03952461552335307,0.5,0.039806352134919565,0.039806352134919565,0.5,0.0684484387027177,0.07272359397181334,0.5774363341582511,0.5473650291588719,0.0,0.0,ORLA
multiday,10,1.5,0.1,0.2,2,0.03952461552335307,0.03952461552335307,0.5,0.039806352134919565,0.039806352134919565,0.5,0.0684484387027177,0.07272359397181334,0.5774363341582511,0.5473650291588719,0.0,0.0,ORLA
multiday,10,1.5,0.2,0.1,2,0.04556213017751487,0.04556213017751487,0.5,0.03907450481477304,0.03907450481477304,0.5,0.07698677380965963,0.07168860556607573,0.5918176320800461,0.5450587929033978,0.0,0.0,ORLA
multiday,10,1.5,0.1,0.1,2,0.04556213017751487,0.04556213017751487,0.5,0.03907450481477304,0.03907450481477304,0.5,0.07698677380965963,0.07168860556607573,0.5918176320800461,0.5450587929033978,0.0,0.0,ORLA
intraday,15,1.0,0.1,0.2,5,0.0411806589285076,0.030201342281879096,0.8,0.038935006137836556,0.024801629071626308,0.8,0.05359972874727731,0.056083926494915975,0.7682997636550435,0.6942275366787314,-0.025706940874036133,-0.03321887438866977,ORLA
intraday,15,1.0,0.05,0.2,5,0.0411806589285076,0.030201342281879096,0.8,0.038935006137836556,0.024801629071626308,0.8,0.05359972874727731,0.056083926494915975,0.7682997636550435,0.6942275366787314,-0.025706940874036133,-0.03321887438866977,ORLA
intraday,15,1.0,0.2,0.2,5,0.0411806589285076,0.030201342281879096,0.8,0.038935006137836556,0.024801629071626308,0.8,0.05359972874727731,0.056083926494915975,0.7682997636550435,0.6942275366787314,-0.025706940874036133,-0.03321887438866977,ORLA
intraday,30,1.0,0.2,0.1,5,0.04163171524961344,0.030201342281879096,0.8,0.03892624333060881,0.024801629071626308,0.8,0.0539124540435587,0.05586354107824981,0.7722096125688694,0.6968094499430962,-0.028277634961439535,-0.03578956847607351,ORLA
intraday,30,1.0,0.05,0.1,5,0.04163171524961344,0.030201342281879096,0.8,0.03892624333060881,0.024801629071626308,0.8,0.0539124540435587,0.05586354107824981,0.7722096125688694,0.6968094499430962,-0.028277634961439535,-0.03578956847607351,ORLA
intraday,30,1.0,0.1,0.1,5,0.04163171524961344,0.030201342281879096,0.8,0.03892624333060881,0.024801629071626308,0.8,0.0539124540435587,0.05586354107824981,0.7722096125688694,0.6968094499430962,-0.028277634961439535,-0.03578956847607351,ORLA
multiday,5,1.0,0.03,0.2,5,0.05443263941397225,0.06065088757396442,0.6,0.03867701818379565,0.020284093143805748,0.6,0.09457533955145098,0.09794144140817958,0.5755479142039955,0.3948994177307007,-0.05910000000000004,-0.07481848163026905,ORLA
intraday,30,1.0,0.03,0.1,5,0.04128724224190135,0.030201342281879096,0.8,0.03858177032289671,0.024801629071626308,0.8,0.05447339460323763,0.05644176185333217,0.75793408034548,0.6835677883896345,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,60,1.0,0.1,0.2,5,0.041281430210090876,0.038590604026845554,0.8,0.03855605885431133,0.033190890816592766,0.8,0.069734828870641,0.0715505804522767,0.5919772211195707,0.5388643755312049,-0.04884318766066831,-0.05635512117530217,ORLA
intraday,60,1.0,0.2,0.2,5,0.041281430210090876,0.038590604026845554,0.8,0.03855605885431133,0.033190890816592766,0.8,0.069734828870641,0.0715505804522767,0.5919772211195707,0.5388643755312049,-0.04884318766066831,-0.05635512117530217,ORLA
multiday,10,1.0,0.2,0.2,5,0.04228523483272593,-0.003355704697986628,0.4,0.038497280529260804,-0.011616994314806783,0.4,0.10369537973312266,0.10709535627802708,0.40778321022165137,0.3594673183524331,-0.06740739462742185,-0.08596054424022859,ORLA
intraday,60,1.0,0.05,0.2,5,0.04105006774222453,0.038590604026845554,0.8,0.03832469638644498,0.033190890816592766,0.8,0.0701095046023754,0.07193504304659033,0.5855135901335936,0.5327681024896744,-0.050000000000000044,-0.057511933514633906,ORLA
intraday,15,1.0,0.03,0.2,5,0.040322047103314794,0.030201342281879096,0.8,0.03807639431264376,0.024801629071626308,0.8,0.05495628447672367,0.05748019937381011,0.7337113032157933,0.6624262742204863,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,180,1.0,0.03,0.2,5,0.04071693505673011,0.028523489932885893,0.6,0.03775703462467535,0.023123776722633105,0.8,0.06630683463217892,0.06803154416708417,0.61406844833715,0.5549930563378775,-0.030000000000000027,-0.03751193351463389,ORLA
intraday,120,1.5,0.2,0.2,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.2,0.1,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.05,0.2,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.1,0.1,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.03,0.2,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.1,0.2,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.05,0.1,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,120,1.5,0.03,0.1,2,0.03810082063305986,0.03810082063305986,0.5,0.037427318816675714,0.037427318816675714,1.0,0.05388269727681791,0.049945490906688476,0.7071067811865476,0.7493633186347082,0.0,0.0,ORLA
intraday,60,1.0,0.03,0.1,5,0.039626338928665204,0.038590604026845554,0.8,0.036900967572885655,0.033190890816592766,0.8,0.0558491886612637,0.05735446052019328,0.7095239855498481,0.6433844419109062,-0.030000000000000027,-0.03751193351463389,ORLA
multiday,1,1.0,0.1,0.2,5,0.04033971830857257,0.013313609467455523,0.8,0.036580286934670345,0.01542413297432077,0.8,0.10021306370763221,0.10257706262972832,0.40253951746512967,0.35661273579956115,-0.07326478149100257,-0.08077671500563643,ORLA
intraday,390,1.0,0.2,0.2,5,0.04033971830857257,0.013313609467455523,0.8,0.036580286934670345,0.01542413297432077,0.8,0.10021306370763221,0.10257706262972832,0.40253951746512967,0.35661273579956115,-0.07326478149100257,-0.08077671500563643,ORLA
intraday,390,1.0,0.1,0.2,5,0.04033971830857257,0.013313609467455523,0.8,0.036580286934670345,0.01542413297432077,0.8,0.10021306370763221,0.10257706262972832,0.40253951746512967,0.35661273579956115,-0.07326478149100257,-0.08077671500563643,ORLA
multiday,1,1.0,0.2,0.2,5,0.04033971830857257,0.013313609467455523,0.8,0.036580286934670345,0.01542413297432077,0.8,0.10021306370763221,0.10257706262972832,0.40253951746512967,0.35661273579956115,-0.07326478149100257,-0.08077671500563643,ORLA
intraday,120,1.0,0.05,0.2,5,0.03882296959095566,0.030201342281879096,0.6,0.03603150367731676,0.024801629071626308,0.8,0.07184576182066607,0.07378210615130144,0.5403654802611951,0.4883501645158878,-0.050000000000000044,-0.057511933514633906,ORLA
intraday,15,1.0,0.2,0.1,5,0.03808743858952453,0.030201342281879096,0.8,0.035841785798853484,0.024801629071626308,0.8,0.048438805476298245,0.050981348443070874,0.7863001206369802,0.703037226229447,-0.025706940874036133,-0.03321887438866977,ORLA
