hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.01,0.01,2022-03-18,-0.01000000000000012,-0.0009817351598173651,-0.009018264840182755,1,ORLA
intraday,5,0.5,0.01,0.01,2022-08-08,-0.009999999999999898,-0.0021105235068652473,-0.00788947649313465,1,ORLA
intraday,5,0.5,0.01,0.01,2023-08-03,-0.010000000000000009,-0.008675008874689416,-0.0013249911253105928,1,ORLA
intraday,5,0.5,0.01,0.01,2023-11-13,0.009999999999999898,0.005399713210252788,0.00460028678974711,1,ORLA
intraday,5,0.5,0.01,0.01,2024-05-14,0.010000000000000009,0.007511933514633862,0.002488066485366147,1,ORLA
intraday,5,0.5,0.01,0.01,2024-08-12,-0.010000000000000009,0.01026969600954275,-0.02026969600954276,1,ORLA
intraday,5,0.5,0.01,0.01,2024-11-12,0.010000000000000009,-0.0003013207894604353,0.010301320789460444,1,ORLA
intraday,5,0.5,0.01,0.01,2025-03-18,0.010000000000000009,-0.0003908817937920972,0.010390881793792106,1,ORLA
intraday,5,0.5,0.01,0.03,2022-03-18,-0.01000000000000012,-0.0009817351598173651,-0.009018264840182755,1,ORLA
intraday,5,0.5,0.01,0.03,2022-08-08,-0.009999999999999898,-0.0021105235068652473,-0.00788947649313465,1,ORLA
intraday,5,0.5,0.01,0.03,2023-08-03,-0.010000000000000009,-0.008675008874689416,-0.0013249911253105928,1,ORLA
intraday,5,0.5,0.01,0.03,2023-11-13,0.010067114093959662,0.005399713210252788,0.004667400883706874,1,ORLA
intraday,5,0.5,0.01,0.03,2024-05-14,-0.010000000000000009,0.007511933514633862,-0.01751193351463387,1,ORLA
intraday,5,0.5,0.01,0.03,2024-08-12,-0.010000000000000009,0.01026969600954275,-0.02026969600954276,1,ORLA
intraday,5,0.5,0.01,0.03,2024-11-12,0.030000000000000138,-0.0003013207894604353,0.030301320789460573,1,ORLA
intraday,5,0.5,0.01,0.03,2025-03-18,0.030000000000000027,-0.0003908817937920972,0.030390881793792124,1,ORLA
intraday,5,0.5,0.01,0.05,2022-03-18,-0.01000000000000012,-0.0009817351598173651,-0.009018264840182755,1,ORLA
intraday,5,0.5,0.01,0.05,2022-08-08,-0.009999999999999898,-0.0021105235068652473,-0.00788947649313465,1,ORLA
intraday,5,0.5,0.01,0.05,2023-08-03,-0.010000000000000009,-0.008675008874689416,-0.0013249911253105928,1,ORLA
intraday,5,0.5,0.01,0.05,2023-11-13,0.010067114093959662,0.005399713210252788,0.004667400883706874,1,ORLA
intraday,5,0.5,0.01,0.05,2024-05-14,-0.010000000000000009,0.007511933514633862,-0.01751193351463387,1,ORLA
intraday,5,0.5,0.01,0.05,2024-08-12,-0.010000000000000009,0.01026969600954275,-0.02026969600954276,1,ORLA
intraday,5,0.5,0.01,0.05,2024-11-12,0.04999999999999993,-0.0003013207894604353,0.05030132078946037,1,ORLA
intraday,5,0.5,0.01,0.05,2025-03-18,0.050000000000000044,-0.0003908817937920972,0.05039088179379214,1,ORLA
intraday,5,0.5,0.01,0.1,2022-03-18,-0.01000000000000012,-0.0009817351598173651,-0.009018264840182755,1,ORLA
