hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.01,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,5,0.5,0.01,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,5,0.5,0.01,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,5,0.5,0.01,0.01,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,5,0.5,0.01,0.01,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,5,0.5,0.01,0.03,2022-04-27,0.006744186046511613,7.190106413568209e-05,0.006672284982375931,1,TMUS
intraday,5,0.5,0.01,0.03,2023-02-01,-0.0012068387529333702,0.000713208673999377,-0.0019200474269327472,1,TMUS
intraday,5,0.5,0.01,0.03,2024-04-25,0.00819924788853954,0.00377209440110593,0.0044271534874336105,1,TMUS
intraday,5,0.5,0.01,0.03,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,5,0.5,0.01,0.03,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,5,0.5,0.01,0.05,2022-04-27,0.006744186046511613,7.190106413568209e-05,0.006672284982375931,1,TMUS
intraday,5,0.5,0.01,0.05,2023-02-01,-0.0012068387529333702,0.000713208673999377,-0.0019200474269327472,1,TMUS
intraday,5,0.5,0.01,0.05,2024-04-25,0.00819924788853954,0.00377209440110593,0.0044271534874336105,1,TMUS
intraday,5,0.5,0.01,0.05,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,5,0.5,0.01,0.05,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,5,0.5,0.01,0.1,2022-04-27,0.006744186046511613,7.190106413568209e-05,0.006672284982375931,1,TMUS
