hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.01,0.01,2023-03-17,-0.010000000000000009,-0.0006357764101521113,-0.009364223589847898,1,XPEV
intraday,5,0.5,0.01,0.01,2024-03-19,0.010000000000000009,-0.0007419701259396838,0.010741970125939693,1,XPEV
intraday,5,0.5,0.01,0.01,2025-03-18,-0.010000000000000009,-0.0013279036827195112,-0.008672096317280498,1,XPEV
intraday,5,0.5,0.01,0.03,2023-03-17,-0.010000000000000009,-0.0006357764101521113,-0.009364223589847898,1,XPEV
intraday,5,0.5,0.01,0.03,2024-03-19,0.030000000000000027,-0.0007419701259396838,0.03074197012593971,1,XPEV
intraday,5,0.5,0.01,0.03,2025-03-18,-0.010000000000000009,-0.0013279036827195112,-0.008672096317280498,1,XPEV
intraday,5,0.5,0.01,0.05,2023-03-17,-0.010000000000000009,-0.0006357764101521113,-0.009364223589847898,1,XPEV
intraday,5,0.5,0.01,0.05,2024-03-19,-0.01000000000000012,-0.00152299131113931,-0.00847700868886081,1,XPEV
intraday,5,0.5,0.01,0.05,2025-03-18,-0.010000000000000009,-0.0013279036827195112,-0.008672096317280498,1,XPEV
intraday,5,0.5,0.01,0.1,2023-03-17,-0.010000000000000009,-0.0006357764101521113,-0.009364223589847898,1,XPEV
intraday,5,0.5,0.01,0.1,2024-03-19,-0.01000000000000012,-0.00152299131113931,-0.00847700868886081,1,XPEV
intraday,5,0.5,0.01,0.1,2025-03-18,-0.010000000000000009,-0.0013279036827195112,-0.008672096317280498,1,XPEV
intraday,5,0.5,0.01,0.2,2023-03-17,-0.010000000000000009,-0.0006357764101521113,-0.009364223589847898,1,XPEV
intraday,5,0.5,0.01,0.2,2024-03-19,-0.01000000000000012,-0.00152299131113931,-0.00847700868886081,1,XPEV
intraday,5,0.5,0.01,0.2,2025-03-18,-0.010000000000000009,-0.0013279036827195112,-0.008672096317280498,1,XPEV
intraday,5,0.5,0.03,0.01,2023-03-17,-0.030000000000000027,-0.0006357764101521113,-0.029364223589847915,1,XPEV
intraday,5,0.5,0.03,0.01,2024-03-19,0.010000000000000009,-0.0007419701259396838,0.010741970125939693,1,XPEV
intraday,5,0.5,0.03,0.01,2025-03-18,-0.030000000000000138,-0.0013279036827195112,-0.028672096317280626,1,XPEV
intraday,5,0.5,0.03,0.03,2023-03-17,-0.030000000000000027,-0.0006357764101521113,-0.029364223589847915,1,XPEV
intraday,5,0.5,0.03,0.03,2024-03-19,0.030000000000000027,-0.0007419701259396838,0.03074197012593971,1,XPEV
intraday,5,0.5,0.03,0.03,2025-03-18,-0.030000000000000138,-0.0013279036827195112,-0.028672096317280626,1,XPEV
intraday,5,0.5,0.03,0.05,2023-03-17,-0.030000000000000027,-0.0006357764101521113,-0.029364223589847915,1,XPEV
intraday,5,0.5,0.03,0.05,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.03,0.05,2025-03-18,-0.030000000000000138,-0.0013279036827195112,-0.028672096317280626,1,XPEV
intraday,5,0.5,0.03,0.1,2023-03-17,-0.030000000000000027,-0.0006357764101521113,-0.029364223589847915,1,XPEV
intraday,5,0.5,0.03,0.1,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.03,0.1,2025-03-18,-0.030000000000000138,-0.0013279036827195112,-0.028672096317280626,1,XPEV
intraday,5,0.5,0.03,0.2,2023-03-17,-0.030000000000000027,-0.0006357764101521113,-0.029364223589847915,1,XPEV
intraday,5,0.5,0.03,0.2,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.03,0.2,2025-03-18,-0.030000000000000138,-0.0013279036827195112,-0.028672096317280626,1,XPEV
intraday,5,0.5,0.05,0.01,2023-03-17,-0.050000000000000044,-0.0006357764101521113,-0.04936422358984793,1,XPEV
intraday,5,0.5,0.05,0.01,2024-03-19,0.010000000000000009,-0.0007419701259396838,0.010741970125939693,1,XPEV
intraday,5,0.5,0.05,0.01,2025-03-18,-0.050000000000000044,-0.0035587818696883877,-0.04644121813031166,1,XPEV
intraday,5,0.5,0.05,0.03,2023-03-17,-0.050000000000000044,-0.0006357764101521113,-0.04936422358984793,1,XPEV
intraday,5,0.5,0.05,0.03,2024-03-19,0.030000000000000027,-0.0007419701259396838,0.03074197012593971,1,XPEV
intraday,5,0.5,0.05,0.03,2025-03-18,-0.050000000000000044,-0.0035587818696883877,-0.04644121813031166,1,XPEV
intraday,5,0.5,0.05,0.05,2023-03-17,-0.050000000000000044,-0.0006357764101521113,-0.04936422358984793,1,XPEV
intraday,5,0.5,0.05,0.05,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.05,0.05,2025-03-18,-0.050000000000000044,-0.0035587818696883877,-0.04644121813031166,1,XPEV
intraday,5,0.5,0.05,0.1,2023-03-17,-0.050000000000000044,-0.0006357764101521113,-0.04936422358984793,1,XPEV
intraday,5,0.5,0.05,0.1,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.05,0.1,2025-03-18,-0.050000000000000044,-0.0035587818696883877,-0.04644121813031166,1,XPEV
intraday,5,0.5,0.05,0.2,2023-03-17,-0.050000000000000044,-0.0006357764101521113,-0.04936422358984793,1,XPEV
intraday,5,0.5,0.05,0.2,2024-03-19,-0.0024557956777996326,-0.00152299131113931,-0.0009328043666603225,1,XPEV
intraday,5,0.5,0.05,0.2,2025-03-18,-0.050000000000000044,-0.0035587818696883877,-0.04644121813031166,1,XPEV
intraday,5,0.5,0.1,0.01,2023-03-17,-0.10000000000000009,-0.0006357764101521113,-0.09936422358984798,1,XPEV
intraday,5,0.5,0.1,0.01,2024-03-19,0.010000000000000009,-0.0007419701259396838,0.010741970125939693,1,XPEV
